"About the data: Analytical views - Publisher - Exported on Oct 18, 2022. Criteria: My groups is US YES federal funders; Publication Year is 2017 or 2018 or 2019 or 2020 or 2021; Country of Funder is United States; Publication Type is not Preprint. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.   1,326,472",,,,,,,,,,,,,,,,,,,,,,
Name,Rank FF,FF Pubs,Rank WW,Worldwide,rank percentage,percentage,All OA,Bronze,Closed,Gold,Green,Hybrid,Sum,Delta,% OSTP closed,Rank % closed,ratio,% OSTP Green,% OSTP Gold,% OSTP Bronze,% OSTP Hybrid,color
Elsevier,1,268538,1,3635613,64,7.386319721,188871,66055,79667,27312,74488,21016,268538,0,29.66693727,58,0.341176471,27.73834616,10.17062762,24.59800848,7.82608048,blue
Springer Nature,2,180928,2,2987490,70,6.056187636,130336,9633,50592,63804,46542,10357,180928,0,27.96250442,63,0.370588235,25.72404492,35.26485674,5.324217368,5.724376548,blue
Wiley,3,129068,3,1336084,50,9.660171067,87654,22546,41414,12841,44009,8258,129068,0,32.08696191,54,0.317647059,34.09752998,9.949019122,17.46831128,6.398177705,blue
Institute of Electrical and Electronics Engineers (IEEE),4,88713,4,1318742,66,6.727092942,33837,765,54876,2357,19900,10815,88713,0,61.85790132,24,0.141176471,22.4318871,2.656882306,0.862331338,12.19099794,blue
American Chemical Society (ACS),5,61866,12,298773,20,20.70669036,30421,723,31445,1818,24724,3156,61866,0,50.82759512,29,0.170588235,39.96379271,2.938609252,1.168654835,5.101348075,blue
Oxford University Press (OUP),6,50493,7,587797,57,8.590210566,47124,17562,3369,8625,12670,8267,50493,0,6.67221199,114,0.670588235,25.09258709,17.08157566,34.78105876,16.37256649,blue
MDPI,7,38504,6,632448,69,6.088089456,38502,0,2,38324,140,38,38504,0,0.005194266,169,0.994117647,0.363598587,99.5325161,0,0.098691045,blue
Taylor & Francis,8,37282,5,1243814,94,2.997393501,21256,2657,16026,4098,12460,2041,37282,0,42.98589131,39,0.229411765,33.42095381,10.99189958,7.126763586,5.474491712,blue
Wolters Kluwer,9,32456,8,504760,67,6.429986528,28008,8031,4448,3516,14980,1481,32456,0,13.70470791,94,0.552941176,46.15479418,10.83312793,24.74426916,4.563100813,blue
American Physical Society (APS),10,29188,24,105303,16,27.7181087,27955,44,1233,2355,8211,17345,29188,0,4.224338769,126,0.741176471,28.13142387,8.068384268,0.150746882,59.42510621,blue
Frontiers,11,25725,14,223259,40,11.52249181,25710,0,15,25687,18,5,25725,0,0.058309038,167,0.982352941,0.069970845,99.85228377,0,0.019436346,blue
Public Library of Science (PLoS),12,22161,23,107653,21,20.58558517,22161,0,0,22161,0,0,22161,0,0,170,1,0,100,0,0,blue
SAGE Publications,13,21741,10,402011,75,5.408060973,14195,3191,7546,3302,6944,758,21741,0,34.70861506,48,0.282352941,31.93965319,15.18789384,14.67733775,3.486500161,blue
Association for Computing Machinery (ACM),14,18850,16,157655,39,11.95648727,11187,8682,7663,331,2134,40,18850,0,40.65251989,41,0.241176471,11.32095491,1.75596817,46.05835544,0.212201592,blue
Royal Society of Chemistry (RSC),15,17714,15,186787,51,9.483529368,9530,141,8184,2748,5600,1041,17714,0,46.20074517,35,0.205882353,31.61341312,15.51315344,0.79598058,5.876707689,blue
American Geophysical Union (AGU),16,16756,44,39214,8,42.72963737,12148,4972,4608,1228,3439,2509,16756,0,27.5005968,64,0.376470588,20.52399141,7.328718071,29.67295297,14.97374075,blue
AIP Publishing,17,14404,19,128197,43,11.23583235,9741,570,4663,1514,7002,655,14404,0,32.37295196,53,0.311764706,48.61149681,10.51096918,3.957234102,4.547347959,blue
American Astronomical Society,18,13980,66,24541,2,56.96589381,13216,3498,764,257,8463,998,13980,0,5.464949928,119,0.7,60.53648069,1.838340486,25.02145923,7.138769671,blue
IOP Publishing,19,13138,11,398273,90,3.29874232,9307,103,3831,2639,5626,939,13138,0,29.15968945,60,0.352941176,42.82234739,20.0867712,0.783985386,7.147206576,blue
American Society for Microbiology,20,11738,54,31805,12,36.90614683,11705,343,33,4434,6146,782,11738,0,0.281138184,159,0.935294118,52.35985688,37.77474868,2.922133242,6.662123019,blue
Proceedings of the National Academy of Sciences,21,10649,73,20344,4,52.34467165,10645,4689,4,0,3098,2858,10649,0,0.037562212,168,0.988235294,29.09193351,0,44.0323035,26.83820077,blue
Cambridge University Press (CUP),22,8536,13,230668,87,3.700556644,5766,1289,2770,978,2561,938,8536,0,32.45079663,52,0.305882353,30.00234302,11.45735708,15.10074977,10.98875351,blue
American Association for the Advancement of Science (AAAS),23,8494,49,35783,19,23.73752899,7010,75,1484,3471,3449,15,8494,0,17.47115611,87,0.511764706,40.60513304,40.86413939,0.882976219,0.176595244,blue
American Association for Cancer Research (AACR),24,6790,32,62829,44,10.80711137,6204,1330,586,10,4633,231,6790,0,8.630338733,106,0.623529412,68.23269514,0.147275405,19.58762887,3.402061856,blue
Mary Ann Liebert,25,6766,36,45734,33,14.79424498,5444,396,1322,289,4274,485,6766,0,19.53887082,83,0.488235294,63.1687851,4.271356784,5.852793379,7.168193911,blue
American Medical Association (AMA),26,6763,50,35061,24,19.28923876,6058,2635,705,1774,1457,192,6763,0,10.42436788,103,0.605882353,21.54369363,26.23096259,38.96199911,2.838976785,blue
The Optical Society,27,6271,30,76660,60,8.180276546,5486,0,785,3365,361,1760,6271,0,12.51793972,96,0.564705882,5.75665763,53.6597034,0,28.06569925,blue
American Psychological Association (APA),28,6241,48,36397,26,17.14701761,5610,4705,631,17,870,18,6241,0,10.11055921,104,0.611764706,13.94007371,0.272392245,75.38855953,0.288415318,blue
BMJ,29,6207,18,154406,82,4.019921506,5310,466,897,2679,1303,862,6207,0,14.45142581,92,0.541176471,20.9924279,43.16094732,7.50765265,13.88754632,blue
American Physiological Society,30,5592,104,12483,7,44.79692382,5269,3498,323,28,1581,162,5592,0,5.776108727,118,0.694117647,28.27253219,0.500715308,62.55364807,2.896995708,blue
Copernicus Publications,31,4670,58,29223,28,15.98056325,4670,0,0,4665,2,3,4670,0,0,170,1,0.042826552,99.89293362,0,0.064239829,blue
eLife,32,4625,127,8728,3,52.9903758,4625,0,0,4625,0,0,4625,0,0,170,1,0,100,0,0,blue
American Meteorological Society,33,4193,118,10550,10,39.74407583,3406,1847,787,35,394,1130,4193,0,18.76937753,85,0.5,9.396613403,0.834724541,44.04960649,26.94967803,blue
American Society for Clinical Investigation,34,3627,163,5228,1,69.37643458,3627,1682,0,1847,14,84,3627,0,0,170,1,0.385993934,50.92362834,46.37441412,2.315963606,blue
EDP Sciences,35,3472,21,119398,95,2.907921406,3435,2399,37,392,66,578,3472,0,1.065668203,146,0.858823529,1.900921659,11.29032258,69.09562212,16.64746544,blue
American Society of Clinical Oncology (ASCO),36,3301,38,43199,61,7.641380588,1938,558,1363,181,916,283,3301,0,41.29051802,40,0.235294118,27.74916692,5.483186913,16.90396849,8.573159649,blue
The Royal Society,37,3163,83,16010,22,19.75640225,3090,1701,73,486,251,652,3163,0,2.307935504,141,0.829411765,7.935504268,15.36515966,53.7780588,20.61334176,blue
Hindawi,38,3088,20,122851,100,2.513614053,3013,24,75,2905,71,13,3088,0,2.428756477,140,0.823529412,2.299222798,94.0738342,0.777202073,0.420984456,blue
ASME International,39,3076,34,49654,68,6.19486849,1408,763,1668,2,604,39,3076,0,54.22626788,27,0.158823529,19.63589077,0.065019506,24.80494148,1.267880364,blue
Society for Neuroscience,40,3066,153,6104,6,50.2293578,3066,2070,0,839,21,136,3066,0,0,170,1,0.684931507,27.36464449,67.5146771,4.435746902,blue
